Brand_Mod,model,model_year,KM,fuel,HP,Litros,Cilindros,transmission_mod,ext_col_mod,int_col_mod,accident_mod,clean_title_mod,price_eur
Outra,Wrangler Sport,2014,114263,Gasoline,285.0,3.6,6.0,Automatic,Outra,Black,None reported,Yes,20020
Outra,Highlander XLE,2015,110361,Gasoline,270.0,3.5,6.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,23660
Outra,Camry Hybrid XLE,2018,112076,Hybrid,208.0,2.5,4.0,CVT,white,Black,At least 1 accident or damage reported,Yes,21835
Outra,Outback Touring XT,2021,53913,Gasoline,260.0,2.4,4.0,CVT,Outra,Outra,None reported,Yes,30940
Outra,GX 460 Base,2018,120701,Gasoline,301.0,4.6,8.0,Automatic,white,beige,At least 1 accident or damage reported,Yes,34666
Ford,Escape XLT,2007,214526,Gasoline,153.0,2.3,4.0,Automatic,Outra,Outra,None reported,Yes,2730
Outra,Murano SL,2007,193121,Gasoline,240.0,3.5,6.0,Automatic,Outra,Black,None reported,Yes,6142
Outra,Cooper Base,2003,166931,Gasoline,115.0,1.6,4.0,Manual,Outra,Outra,At least 1 accident or damage reported,Yes,5455
Ford,E350 Super Duty Base,2006,254276,Gasoline,305.0,6.8,10.0,Automatic,white,Outra,At least 1 accident or damage reported,Yes,7735
Outra,Mazda6 i Touring,2016,192317,Gasoline,184.0,2.5,4.0,DCT,Outra,Black,None reported,Yes,13650
Outra,Camry Hybrid Base,2007,85696,Hybrid,147.0,2.4,4.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,8418
Mercedes-Benz,C-Class C 300 4MATIC Sport,2016,108291,Gasoline,241.0,2.0,4.0,Automatic,white,Outra,None reported,Yes,18646
Outra,Charger SE,2017,101791,Gasoline,292.0,3.6,6.0,Automatic,Outra,Black,None reported,Yes,16972
Outra,GX 460 Premium,2023,4076,Gasoline,301.0,4.6,8.0,Automatic,Black,Black,None reported,Yes,59059
Ford,Mustang Shelby GT500,2007,11822,Gasoline,500.0,5.4,8.0,Manual,Outra,Black,None reported,Yes,37309
Outra,MKT Base,2016,225630,Gasoline,303.0,3.7,6.0,Automatic,Black,Black,None reported,Yes,9555
Outra,Passat 2.0T SE,2020,79502,Gasoline,174.0,2.0,4.0,Automatic,Black,Outra,None reported,Yes,19019
Outra,QX60 Base,2014,248236,Gasoline,265.0,3.5,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,11375
Outra,1500 Big Horn,2021,67271,Diesel,260.0,3.0,6.0,Automatic,white,Black,None reported,Yes,40859
